date,open,high,low,close,volume,amount,pct_change
2026-04-30,4820.9716,4829.2715,4797.5445,4807.3069,25063337000,726665374516.3,-0.063195
2026-05-06,4857.6537,4892.7957,4834.2807,4877.0932,27444388000,881744311635.1,1.451671
2026-05-07,4895.8001,4901.8575,4866.8749,4900.5098,25783397200,787236200022.7,0.480134
2026-05-08,4871.1185,4887.2129,4849.9871,4871.9122,25172099600,716546104146.0,-0.583564
2026-05-11,4902.2775,4960.3975,4889.5659,4951.8366,30573480100,904479321902.1,1.640514
2026-05-12,4965.0175,4971.3026,4926.7897,4948.0465,27381200100,819351442664.4,-0.076539
2026-05-13,4919.4248,5001.1201,4919.4248,4998.3417,26845453700,823173197928.5,1.016466
2026-05-14,5027.6405,5030.5187,4913.6037,4914.5971,28069537900,857446326247.6,-1.675448
2026-05-15,4911.6223,4935.6173,4832.6899,4859.5927,27696776900,887687426984.5,-1.119205
2026-05-18,4836.3286,4868.6008,4806.1455,4833.5237,23907758700,733452822623.8,-0.536444
2026-05-19,4818.7051,4854.5247,4773.534,4852.8832,23228085200,712401049984.5,0.400526
2026-05-20,4829.6129,4866.2121,4825.643,4850.7,22002320600,729653332839.0,-0.044988
2026-05-21,4886.2389,4937.9327,4780.7107,4783.0976,28734250700,891936347970.3,-1.393663
2026-05-22,4818.8435,4851.3489,4785.3486,4845.0956,28694043500,771823300850.7,1.296189
2026-05-25,4873.1962,4922.4375,4857.1345,4921.5974,26474323600,861179421899.8,1.578953
2026-05-26,4900.1152,4952.7412,4892.683,4947.8493,30279947600,899094487856.9,0.533402
2026-05-27,4940.9454,4974.2108,4891.3428,4908.1714,30170917500,909011906950.0,-0.801922
2026-05-28,4889.2659,4922.3297,4843.2265,4914.2133,26743273100,819897918903.1,0.123099
2026-05-29,4937.5119,4954.0703,4878.7869,4892.1213,33251861000,942236490058.1,-0.449553
2026-06-01,4897.8968,4918.7935,4836.6851,4844.2556,29613405100,823984849000.1,-0.978424
2026-06-02,4860.6119,4930.2776,4831.9972,4914.5591,28173166200,806751344395.2,1.451276
2026-06-03,4921.3445,4991.8525,4904.8969,4938.8091,30403594700,906047729419.0,0.493432
2026-06-04,4897.3164,4938.7814,4889.7456,4904.7454,26480891000,736143410003.4,-0.689715
2026-06-05,4886.9645,4924.3438,4798.9103,4816.9199,30192933600,839863796395.6,-1.790623
2026-06-08,4703.773,4779.8623,4677.5682,4713.6358,29964756500,761046395165.9,-2.144194
2026-06-09,4743.4505,4802.5047,4715.3907,4801.8106,25839160100,713286998820.9,1.870632
2026-06-10,4753.1154,4786.5162,4718.9946,4748.5932,25929710900,694628416057.3,-1.108278
2026-06-11,4730.072,4766.1728,4685.5014,4722.4122,24717705900,653931756259.4,-0.551342
2026-06-12,4784.6396,4809.8606,4757.5574,4777.3206,33592206300,871477325201.4,1.162719
