date,股票代码,open,close,high,low,volume,amount,振幅,pct_change,涨跌额,turnover
2025-09-23,300750,361.09,361.24,370.05,353.09,348493,12813882349.0,4.67,-0.52,-1.9,0.82
2025-09-24,300750,364.09,373.02,373.09,359.15,383145,14311189086.0,3.86,3.26,11.78,0.9
2025-09-25,300750,369.69,385.94,395.68,369.56,466393,18251421707.0,7.0,3.46,12.92,1.1
2025-09-26,300750,385.11,373.49,393.08,373.09,362633,14106499741.0,5.18,-3.23,-12.45,0.85
2025-09-29,300750,379.43,390.46,392.98,379.1,389647,15381134070.0,3.72,4.54,16.97,0.92
2025-09-30,300750,389.09,395.09,401.97,389.09,330313,13278445666.0,3.3,1.19,4.63,0.78
2025-10-09,300750,393.07,402.98,417.45,392.83,412088,16989122538.0,6.23,2.0,7.89,0.97
2025-10-10,300750,394.09,375.04,396.89,372.1,533118,20684330795.0,6.15,-6.93,-27.94,1.25
2025-10-13,300750,355.95,367.59,377.69,355.95,471510,17618650276.0,5.8,-1.99,-7.45,1.11
2025-10-14,300750,374.09,351.09,378.89,348.86,496399,18319370880.0,8.17,-4.49,-16.5,1.17
2025-10-15,300750,351.59,362.39,362.8,347.85,369934,13383852916.0,4.26,3.22,11.3,0.87
2025-10-16,300750,360.59,361.59,366.99,357.59,276295,10185159269.0,2.59,-0.22,-0.8,0.65
2025-10-17,300750,360.59,351.23,368.09,350.08,319058,11588825855.0,4.98,-2.87,-10.36,0.75
2025-10-20,300750,358.09,359.59,361.98,352.62,284324,10372513059.0,2.66,2.38,8.36,0.67
2025-10-21,300750,366.09,368.99,374.44,356.19,446329,16784956526.0,5.08,2.61,9.4,1.05
2025-10-22,300750,368.99,365.95,371.97,361.29,219459,8178934535.0,2.89,-0.82,-3.04,0.52
2025-10-23,300750,366.89,369.54,371.89,362.09,239981,8982628026.0,2.68,0.98,3.59,0.56
2025-10-24,300750,373.06,378.86,380.89,371.09,320416,12276721104.0,2.65,2.52,9.32,0.75
2025-10-27,300750,386.09,379.27,386.09,369.66,404510,15542852577.0,4.34,0.11,0.41,0.95
2025-10-28,300750,379.25,379.57,386.89,376.11,287083,11160796766.0,2.84,0.08,0.3,0.67
2025-10-29,300750,379.09,393.09,393.13,377.79,344740,13644645225.0,4.04,3.56,13.52,0.81
2025-10-30,300750,399.07,391.38,402.17,389.92,343061,13797530228.0,3.12,-0.44,-1.71,0.81
2025-10-31,300750,391.09,381.86,399.89,381.29,340484,13515773431.0,4.75,-2.43,-9.52,0.8
2025-11-03,300750,380.09,379.95,385.0,368.86,263682,10106566781.0,4.23,-0.5,-1.91,0.62
2025-11-04,300750,376.15,372.04,379.59,367.09,239391,9091842152.0,3.29,-2.08,-7.91,0.56
2025-11-05,300750,365.94,381.79,386.09,365.09,311425,11937586811.0,5.64,2.62,9.75,0.73
2025-11-06,300750,383.09,387.77,392.58,381.79,234475,9261688311.0,2.83,1.57,5.98,0.55
2025-11-07,300750,386.59,388.46,390.6,381.97,165549,6516185370.0,2.23,0.18,0.69,0.39
2025-11-10,300750,391.49,377.6,393.4,376.41,238960,9267204047.0,4.37,-2.8,-10.86,0.56
2025-11-11,300750,379.09,378.69,387.86,377.59,193032,7500041113.0,2.72,0.29,1.09,0.45
2025-11-12,300750,383.87,379.47,386.08,377.07,212998,8261238196.0,2.38,0.21,0.78,0.5
2025-11-13,300750,378.14,408.69,414.39,378.14,562654,22945441956.0,9.55,7.7,29.22,1.32
